小区名称,东八一广场商务区,五一路现代居住区,产业配套居住区,城东现在居住区,城北生态居住区,城北科技园,城北科技园服务区,城区机械工业园区,城南教育科研区,城南生态居住区,太行西街现代居住区,故县,新区起步区,湖东北部新区,湖西新区,火车站物流商贸区,火车站配套居住区,生态区居住区,老顶山开发区,西八一广场商务区 ,解放东路居住区,解放西路居住区,长兴路居住区,马厂,高等教育园区
东八一广场商务区,956.681831,83.770902,54.493179,159.888088,55.980363,52.881764000000004,62.335565,40.511703000000004,194.07264500000002,49.799086,207.885431,1.219144,67.316398,184.575497,41.092976,75.065678,47.671124999999996,125.75347,193.01663,296.693784,58.735558,125.651382,46.545638000000004,12.106557,228.862057
五一路现代居住区,241.67815499999998,390.595258,25.787033,62.4298,28.941848,55.606416,85.718661,33.864247999999996,105.832003,34.408622,268.052932,1.725206,155.7712,114.72207700000001,21.499924,171.36831999999998,144.034812,77.33935600000001,92.46503200000001,340.155965,34.952067,142.30569,23.768275,12.896500000000001,95.325492
产业配套居住区,340.00835500000005,59.179513,674.361107,114.862393,25.066971,40.185508999999996,42.564211,193.542075,332.140981,151.29523,134.433095,0.962635,53.675272,64.74541400000001,22.813271,91.732531,79.627378,468.67914599999995,113.22385899999999,245.902199,77.054066,205.22830199999999,38.185551,8.163962,117.44838499999999
城东现在居住区,260.82057299999997,41.839796,32.82500900000001,375.97805300000005,25.785372,29.082262,29.78883,39.340786,129.093018,23.529649999999997,115.50596300000001,0.6907190000000001,38.49517900000001,87.149792,23.940978,48.472782,36.521328999999994,67.457053,197.677241,134.846634,92.556134,80.39802399999999,27.355082,6.5856129999999995,128.701717
城北生态居住区,143.908644,34.44615,11.28023,39.233215,188.067326,66.051663,58.570005,17.359688,40.201692,15.17639,233.937469,1.465211,58.694105,185.745032,36.573384000000004,39.908316,26.897229,38.315913,73.108992,140.556016,14.823354,48.987227,42.692684,18.542498,110.327331
城北科技园,149.115536,54.262737,10.475864000000001,42.776156,104.78738799999999,155.194199,81.49703,20.820989,41.779591,15.988112000000001,273.70876799999996,2.337724,91.641115,213.11623199999997,23.044968,52.27396399999999,40.055434,39.175245,70.29669,161.542571,15.304251,61.18593899999999,23.76208,24.706307,94.518433
城北科技园服务区,219.656517,106.61944199999999,18.091074,54.01821,68.29804200000001,81.643014,412.237033,31.426907,73.30071799999999,24.016075,475.106922,2.532708,200.881826,215.101502,36.107645,85.30759800000001,80.553019,63.26789,113.404767,250.052609,23.724829999999997,93.79972099999999,38.997081,22.525532,148.85254999999998
城区机械工业园区,1.419331,0.665494,8.110655999999999,1.488793,0.267997,0.281775,0.469909,0.0,2.1018660000000002,1.790343,0.787329,0.039577,0.877921,5.326134000000001,0.623943,0.39090500000000006,0.413206,5.63176,5.718954,0.916113,4.573274,1.2961010000000002,0.254435,0.26385899999999995,0.593383
城南教育科研区,280.567987,55.348366,86.49728499999999,96.54879199999999,19.839152,31.02861,33.350591,44.423373999999995,512.28029,75.650476,99.388453,0.598214,37.649041999999994,68.807194,15.968782,67.986392,57.523104000000004,195.86161700000002,101.23537199999998,201.14494,81.090434,170.934516,27.55553,5.208525,86.26079899999999
城南生态居住区,157.76942599999998,36.18751399999999,83.90963,39.347609,13.982160999999998,26.823859000000002,26.133868,41.195933000000004,135.695903,289.173304,76.600368,0.564692,29.402231,44.307263999999996,11.286532000000001,48.942075,48.604185,167.896984,63.905232,154.988069,36.83858,231.054955,17.613235,4.725582,52.992367
太行西街现代居住区,405.48521600000004,174.243022,35.133447,109.00147,142.225134,135.553755,227.508766,43.072891,131.230042,45.35031,1119.840139,3.269688,277.875859,387.641182,69.379285,127.377285,111.939229,106.720288,198.416826,467.13284300000004,43.175525,166.532813,67.994179,31.436009,279.76716400000004
故县,17.730135,5.025764,1.503027,8.987215,5.227675,323.022225,77.087508,3.423726,9.790158,2.330376,21.908616000000002,1694.650065,26.989288000000002,69.80761,13.758802,75.077819,4.632459,35.524926,115.823963,12.337899,2.191243,5.8635280000000005,41.753947999999994,171.177479,39.581071
新区起步区,394.87761,255.861057,34.336058,117.082345,86.157966,148.243447,296.71528099999995,68.284602,141.340801,52.738279999999996,849.564641,13.514149000000002,1588.133887,702.883239,67.536142,204.834913,141.534524,133.10734,207.13074699999999,466.140092,56.169382,176.45364999999998,55.893347,89.686869,245.284371
湖东北部新区,2346.319728,654.0141189999999,194.841107,788.741716,786.141161,717.876028,864.747027,431.24106,745.9660220000001,273.731626,3295.9208360000002,130.728451,1976.360372,6761.578248,816.5135720000001,586.428622,548.961532,622.613673,1294.486253,2109.303608,335.469159,838.611173,601.145208,931.384982,1882.926951
湖西新区,281.797281,55.263469,25.543356,112.880599,96.95164299999999,63.910164,89.39768199999999,52.179632,89.59787,32.977552,353.370692,11.231793,124.40336000000002,378.658467,1609.239533,73.61529300000001,46.892993000000004,91.34312299999999,146.666024,225.121818,40.05738,83.474019,117.408515,76.902693,282.79243900000006
火车站物流商贸区,122.57743599999999,131.380089,32.538404,44.027989,21.653825,41.507972,53.803059999999995,17.137301,92.31522700000001,32.159145,131.429226,28.807965000000003,79.07289599999999,83.20524900000002,23.06961,262.307363,157.23794900000001,62.12006900000001,62.241851000000004,162.759722,35.571202,146.59190900000002,17.172706,35.438351,53.920514999999995
火车站配套居住区,84.08948799999999,80.676747,21.147437999999998,33.300434,13.402211,30.240087000000003,40.82591,14.366723,73.480424,26.913992999999998,90.31169,0.7193879999999999,37.112975,55.697745,10.527536000000001,105.44321199999999,338.67363,51.021795000000004,46.073702000000004,112.746511,23.442012,139.61086899999998,11.315881000000001,5.494579999999999,34.670106000000004
生态区居住区,305.010265,59.932571,269.268781,98.100417,25.255290000000002,47.109713,47.103216,108.77489,336.822574,152.267119,118.494499,14.919534999999998,54.913367,87.348275,25.657532,83.76804100000001,63.158909,697.080814,126.85384400000001,216.968175,91.892808,201.46281,37.620112999999996,20.885048,105.29051600000001
老顶山开发区,1030.770101,174.950217,99.119342,624.373681,114.08129699999999,103.958372,160.612762,228.386988,374.644725,101.60681100000001,548.023852,51.5943,226.965543,470.06004,113.443546,142.40304799999998,130.800847,250.40259099999997,1370.3046980000001,622.116266,289.71932899999996,284.90157800000003,98.365194,92.97626500000001,579.664463
西八一广场商务区 ,368.05879000000004,135.620658,43.295653,90.331686,54.270832,70.203985,90.256082,34.800053999999996,143.52861099999998,51.091564,279.805236,1.379562,94.24494899999999,176.674985,33.801689,86.340115,67.83726,101.851375,131.310032,726.763451,45.502904,176.823753,30.286953,13.326801,125.713523
解放东路居住区,257.139141,57.07813,58.191084000000004,222.285011,20.170892,26.034553,31.151959,102.316508,258.639031,49.853005,106.395128,0.6703490000000001,43.867669,66.227391,18.263683,68.478204,60.213507,166.02285200000003,193.843101,189.712697,371.85845900000004,146.90287,26.938982,6.039842,102.31960799999999
解放西路居住区,215.455008,77.35132,62.723527999999995,76.47439800000001,23.102313,46.427685000000004,47.532239000000004,36.479465,212.123325,122.522219,126.111772,0.891574,50.939828,85.967968,18.458849,120.606589,134.704434,148.986415,97.076605,289.28116,59.603956000000004,635.079448,22.751637,7.667711000000001,72.399626
长兴路居住区,143.09126399999997,20.27722,10.958802,45.778475,54.474923,21.243859999999998,35.16006,16.303143,41.485864,10.818161,124.000156,0.991392,32.880821000000005,145.93938799999998,38.624812,23.635007,15.823391,33.500895,65.526328,79.78091500000001,14.723249000000001,29.417428,75.190861,12.004368999999999,135.64861100000002
马厂,105.475532,32.190349999999995,9.618661,43.281565,49.631117,250.831967,99.820713,22.749941,38.536211,14.888559,163.16277,164.148487,136.71686300000002,345.46082399999995,67.268873,103.96307900000001,28.265635,61.23874300000001,161.80963200000002,95.275225,15.502784,40.35925,72.319366,2070.628995,116.689772
高等教育园区,313.33063000000004,46.064914,23.873234,131.922342,50.224446,34.653843,56.230306999999996,25.932797,85.537272,20.680030000000002,174.83998,1.169432,57.684984,178.090786,45.797807000000006,47.463518,28.073728,63.556267,203.920882,163.118326,36.984076,57.22758,44.292292,12.733278,456.550331
